x z
-7.290 27.063
-7.166 26.738
-7.059 26.419
-6.972 26.107
-6.903 25.807
-6.854 25.519
-6.825 25.248
-6.816 24.996
-6.826 24.765
-6.855 24.557
-6.904 24.375
-6.971 24.222
-7.056 24.098
-7.158 24.007
-7.276 23.950
-7.409 23.928
-7.557 23.945
-7.718 24.000
-7.889 24.096
-8.071 24.231
-8.260 24.408
-8.455 24.624
-8.652 24.879
-8.850 25.171
-9.045 25.495
-9.234 25.849
-9.414 26.228
-9.582 26.624
-9.734 27.032
-9.866 27.443
-9.976 27.849
-10.061 28.241
-10.118 28.612
-10.147 28.952
-10.145 29.255
-10.113 29.513
-10.050 29.723
-9.958 29.878
-9.839 29.979
-9.695 30.024
-9.530 30.013
-9.346 29.949
-9.148 29.836
-8.940 29.677
-8.725 29.477
-8.507 29.240
-8.291 28.974
-8.079 28.682
-7.876 28.370
-7.683 28.044
-7.503 27.707
-7.338 27.364
-7.190 27.019
-7.060 26.676
-6.950 26.339
-6.859 26.011
-6.788 25.694
-6.739 25.392
-6.710 25.107
-6.702 24.841
-6.714 24.598
-6.747 24.380
-6.799 24.189
-6.871 24.027
-6.961 23.896
-7.070 23.800
-7.195 23.739
-7.337 23.716
-7.493 23.732
-7.663 23.790
-7.846 23.890
-8.038 24.033
-8.239 24.220
-8.446 24.449
-8.657 24.720
-8.867 25.030
-9.076 25.377
-9.278 25.755
-9.471 26.160
-9.650 26.585
-9.813 27.022
-9.955 27.464
-10.074 27.901
-10.165 28.323
-10.227 28.721
-10.257 29.087
-10.255 29.411
-10.220 29.688
-10.152 29.911
-10.053 30.076
-9.924 30.181
-9.769 30.225
-9.590 30.210
-9.392 30.138
-9.179 30.012
-8.955 29.838
-8.725 29.621
-8.492 29.366
-8.261 29.079
-8.035 28.767
-7.819 28.434
-7.614 28.085
-7.423 27.727
-7.248 27.363
-7.092 26.998
-6.955 26.635
-6.838 26.278
-6.743 25.931
-6.669 25.597
-6.616 25.277
-6.586 24.976
-6.578 24.695
-6.590 24.437
-6.625 24.205
-6.680 24.001
-6.755 23.828
-6.849 23.687
-6.963 23.582
-7.095 23.513
-7.244 23.485
-7.408 23.498
-7.588 23.554
-7.780 23.655
-7.984 23.801
-8.196 23.994
-8.416 24.233
-8.640 24.517
-8.865 24.844
-9.088 25.210
-9.305 25.612
-9.513 26.043
-9.707 26.498
-9.884 26.967
-10.039 27.442
-10.169 27.913
-10.270 28.370
-10.339 28.802
-10.375 29.199
-10.376 29.552
-10.341 29.853
-10.270 30.097
-10.166 30.277
-10.029 30.392
-9.864 30.442
-9.673 30.427
-9.461 30.351
-9.233 30.217
-8.993 30.031
-8.746 29.798
-8.496 29.526
-8.249 29.220
-8.007 28.887
-7.775 28.532
-7.556 28.162
-7.352 27.781
-7.165 27.395
-6.998 27.007
-6.852 26.623
-6.727 26.245
-6.624 25.877
-6.544 25.522
-6.487 25.183
-6.453 24.862
-6.442 24.563
-6.453 24.287
-6.487 24.038
-6.543 23.818
-6.619 23.628
-6.716 23.473
-6.834 23.354
-6.970 23.273
-7.125 23.234
-7.296 23.238
-7.483 23.287
-7.685 23.384
-7.899 23.529
-8.124 23.723
-8.357 23.966
-8.595 24.259
-8.835 24.598
-9.074 24.981
-9.308 25.404
-9.533 25.861
-9.745 26.345
-9.939 26.848
-10.111 27.360
-10.257 27.870
-10.372 28.367
-10.455 28.839
-10.501 29.275
-10.509 29.665
-10.478 30.001
-10.409 30.273
-10.302 30.478
-10.161 30.613
-9.987 30.675
-9.785 30.668
-9.561 30.593
-9.317 30.456
-9.061 30.262
-8.796 30.018
-8.528 29.731
-8.262 29.407
-8.003 29.054
-7.753 28.678
-7.516 28.285
-7.296 27.881
-7.095 27.472
-6.913 27.061
-6.754 26.652
-6.618 26.251
-6.505 25.859
-6.416 25.481
-6.351 25.119
-6.311 24.776
-6.294 24.454
-6.301 24.156
-6.332 23.886
-6.385 23.644
-6.461 23.434
-6.558 23.259
-6.676 23.120
-6.815 23.021
-6.973 22.965
-7.150 22.953
-7.343 22.988
-7.553 23.073
-7.776 23.209
-8.012 23.397
-8.257 23.638
-8.510 23.932
-8.766 24.278
-9.023 24.672
-9.276 25.112
-9.521 25.592
-9.754 26.104
-9.970 26.641
-10.164 27.191
-10.331 27.744
-10.467 28.287
-10.568 28.808
-10.631 29.294
-10.653 29.732
-10.633 30.113
-10.570 30.428
-10.467 30.671
-10.325 30.836
-10.147 30.924
-9.937 30.934
-9.701 30.870
-9.444 30.738
-9.170 30.543
-8.887 30.292
-8.599 29.993
-8.313 29.654
-8.032 29.283
-7.761 28.887
-7.504 28.472
-7.264 28.044
-7.043 27.610
-6.844 27.173
-6.668 26.739
-6.516 26.311
-6.389 25.893
-6.287 25.488
-6.211 25.100
-6.160 24.730
-6.134 24.381
-6.133 24.057
-6.157 23.759
-6.204 23.491
-6.275 23.254
-6.369 23.052
-6.486 22.887
-6.624 22.763
-6.782 22.681
-6.961 22.645
-7.158 22.658
-7.373 22.721
-7.604 22.838
-7.849 23.010
-8.106 23.239
-8.372 23.525
-8.644 23.867
-8.920 24.264
-9.193 24.713
-9.462 25.209
-9.719 25.745
-9.962 26.313
-10.183 26.903
-10.378 27.502
-10.542 28.097
-10.670 28.675
-10.758 29.222
-10.803 29.722
-10.803 30.165
-10.756 30.539
-10.664 30.836
-10.529 31.050
-10.352 31.179
-10.139 31.222
-9.895 31.184
-9.626 31.068
-9.337 30.882
-9.035 30.633
-8.726 30.330
-8.416 29.981
-8.111 29.595
-7.815 29.179
-7.533 28.742
-7.268 28.291
-7.023 27.830
-6.801 27.366
-6.602 26.904
-6.430 26.447
-6.283 25.999
-6.163 25.564
-6.070 25.144
-6.003 24.743
-5.963 24.363
-5.949 24.006
-5.961 23.676
-5.999 23.374
-6.061 23.104
-6.147 22.868
-6.257 22.669
-6.390 22.509
-6.545 22.393
-6.721 22.323
-6.919 22.301
-7.135 22.332
-7.370 22.417
-7.621 22.560
-7.887 22.762
-8.165 23.026
-8.452 23.351
-8.745 23.737
-9.041 24.182
-9.334 24.683
-9.619 25.233
-9.893 25.825
-10.148 26.450
-10.378 27.095
-10.579 27.746
-10.744 28.389
-10.869 29.007
-10.949 29.586
-10.980 30.109
-10.962 30.563
-10.893 30.938
-10.775 31.225
-10.611 31.419
-10.403 31.520
-10.158 31.528
-9.881 31.448
-9.580 31.287
-9.260 31.054
-8.929 30.757
-8.595 30.406
-8.262 30.011
-7.936 29.581
-7.624 29.125
-7.328 28.650
-7.053 28.163
-6.800 27.670
-6.573 27.177
-6.372 26.687
-6.199 26.206
-6.054 25.736
-5.937 25.281
-5.848 24.843
-5.787 24.425
-5.754 24.030
-5.749 23.661
-5.769 23.319
-5.816 23.007
-5.889 22.729
-5.986 22.486
-6.108 22.282
-6.254 22.120
-6.423 22.003
-6.614 21.934
-6.827 21.918
-7.060 21.956
-7.312 22.053
-7.582 22.211
-7.868 22.434
-8.167 22.722
-8.475 23.077
-8.791 23.499
-9.108 23.985
-9.423 24.531
-9.731 25.132
-10.025 25.779
-10.299 26.461
-10.546 27.165
-10.760 27.875
-10.935 28.575
-11.065 29.246
-11.145 29.870
-11.172 30.431
-11.145 30.913
-11.061 31.306
-10.924 31.600
-10.737 31.790
-10.503 31.878
-10.229 31.864
-9.922 31.755
-9.590 31.561
-9.240 31.289
-8.879 30.952
-8.516 30.560
-8.158 30.124
-7.809 29.653
-7.475 29.158
-7.161 28.646
-6.870 28.124
-6.605 27.598
-6.367 27.073
-6.157 26.554
-5.978 26.045
-5.828 25.549
-5.709 25.069
-5.619 24.608
-5.558 24.168
-5.526 23.752
-5.522 23.362
-5.546 23.001
-5.597 22.671
-5.674 22.374
-5.777 22.115
-5.906 21.895
-6.059 21.718
-6.236 21.588
-6.437 21.507
-6.661 21.481
-6.907 21.512
-7.174 21.605
-7.460 21.762
-7.763 21.988
-8.081 22.285
-8.411 22.654
-8.749 23.096
-9.091 23.609
-9.433 24.190
-9.768 24.834
-10.090 25.531
-10.391 26.270
-10.666 27.037
-10.906 27.815
-11.104 28.585
-11.253 29.326
-11.349 30.019
-11.387 30.643
-11.364 31.182
-11.280 31.621
-11.136 31.951
-10.936 32.167
-10.684 32.267
-10.388 32.255
-10.055 32.139
-9.694 31.927
-9.313 31.632
-8.921 31.266
-8.526 30.841
-8.136 30.369
-7.757 29.862
-7.395 29.330
-7.055 28.780
-6.740 28.222
-6.453 27.660
-6.195 27.101
-5.969 26.548
-5.774 26.006
-5.611 25.478
-5.480 24.967
-5.380 24.476
-5.311 24.005
-5.272 23.559
-5.262 23.140
-5.281 22.749
-5.327 22.389
-5.402 22.062
-5.503 21.772
-5.630 21.522
-5.783 21.315
-5.962 21.154
-6.165 21.043
-6.393 20.987
-6.645 20.989
-6.919 21.055
-7.215 21.187
-7.531 21.391
-7.865 21.670
-8.214 22.027
-8.574 22.464
-8.943 22.980
-9.314 23.575
-9.682 24.242
-10.041 24.976
-10.382 25.764
-10.698 26.594
-10.981 27.446
-11.222 28.302
-11.413 29.137
-11.548 29.930
-11.620 30.655
-11.626 31.294
-11.564 31.827
-11.435 32.241
-11.240 32.528
-10.987 32.686
-10.680 32.716
-10.330 32.627
-9.944 32.429
-9.534 32.135
-9.108 31.758
-8.676 31.315
-8.248 30.817
-7.830 30.279
-7.429 29.712
-7.051 29.125
-6.699 28.528
-6.377 27.927
-6.087 27.328
-5.830 26.735
-5.607 26.154
-5.418 25.586
-5.263 25.035
-5.140 24.503
-5.051 23.993
-4.992 23.506
-4.965 23.045
-4.968 22.611
-4.999 22.208
-5.059 21.837
-5.147 21.500
-5.263 21.202
-5.405 20.945
-5.574 20.732
-5.769 20.568
-5.990 20.456
-6.236 20.401
-6.508 20.409
-6.804 20.483
-7.123 20.629
-7.464 20.852
-7.824 21.157
-8.202 21.547
-8.593 22.025
-8.993 22.591
-9.397 23.244
-9.798 23.979
-10.190 24.789
-10.563 25.662
-10.909 26.581
-11.218 27.527
-11.480 28.476
-11.687 29.401
-11.831 30.276
-11.904 31.073
-11.903 31.768
-11.826 32.341
-11.673 32.778
-11.448 33.069
-11.158 33.215
-10.810 33.218
-10.415 33.090
-9.983 32.844
-9.526 32.495
-9.055 32.060
-8.581 31.557
-8.113 31.001
-7.658 30.407
-7.225 29.786
-6.819 29.149
-6.442 28.504
-6.100 27.859
-5.792 27.219
-5.521 26.588
-5.287 25.971
-5.089 25.369
-4.926 24.786
-4.799 24.223
-4.705 23.683
-4.644 23.167
-4.614 22.677
-4.615 22.214
-4.646 21.782
-4.706 21.381
-4.794 21.015
-4.910 20.686
-5.053 20.398
-5.224 20.154
-5.422 19.957
-5.647 19.813
-5.898 19.725
-6.177 19.700
-6.482 19.743
-6.813 19.859
-7.168 20.056
-7.547 20.338
-7.947 20.711
-8.364 21.179
-8.795 21.746
-9.235 22.412
-9.678 23.175
-10.116 24.028
-10.539 24.963
-10.939 25.962
-11.305 27.007
-11.625 28.071
-11.888 29.125
-12.085 30.138
-12.205 31.077
-12.244 31.912
-12.197 32.616
-12.064 33.169
-11.847 33.559
-11.552 33.780
-11.188 33.838
-10.767 33.740
-10.299 33.504
-9.800 33.148
-9.281 32.692
-8.755 32.157
-8.234 31.560
-7.726 30.919
-7.240 30.249
-6.783 29.561
-6.359 28.865
-5.971 28.169
-5.622 27.479
-5.312 26.800
-5.042 26.134
-4.811 25.486
-4.619 24.856
-4.464 24.247
-4.345 23.661
-4.260 23.098
-4.207 22.560
-4.187 22.049
-4.197 21.566
-4.237 21.113
-4.305 20.692
-4.402 20.306
-4.526 19.956
-4.679 19.647
-4.858 19.381
-5.066 19.163
-5.302 18.996
-5.565 18.888
-5.857 18.842
-6.178 18.866
-6.526 18.966
-6.902 19.150
-7.305 19.424
-7.732 19.797
-8.182 20.273
-8.650 20.859
-9.132 21.558
-9.621 22.369
-10.109 23.288
-10.587 24.307
-11.044 25.411
-11.468 26.578
-11.846 27.780
-12.164 28.985
-12.410 30.154
-12.572 31.249
-12.643 32.232
-12.615 33.069
-12.488 33.733
-12.264 34.208
-11.948 34.487
-11.551 34.574
-11.086 34.480
-10.566 34.226
-10.008 33.833
-9.427 33.327
-8.837 32.733
-8.253 32.073
-7.684 31.366
-7.140 30.630
-6.628 29.878
-6.154 29.121
-5.721 28.367
-5.331 27.622
-4.985 26.890
-4.682 26.175
-4.422 25.478
-4.204 24.803
-4.024 24.148
-3.883 23.517
-3.777 22.910
-3.705 22.327
-3.665 21.769
